50	3	17
1	0.05	0.01
1	5	10	3	2	3	D
2	9	23	5	4	2	B
3	10	13	1	1	3	C
4	11	10	2	3	1	B
5	12	23	2	3	2	C
6	14	18	2	3	2	B
7	17	25	5	4	1	B
8	19	12	5	4	3	A
9	23	11	1	5	1	A
10	23	16	5	3	1	C
11	23	13	2	5	3	C
12	25	26	3	5	2	B
13	29	11	4	5	2	B
14	30	14	2	2	3	D
15	32	18	5	4	2	B
16	36	19	4	3	2	B
17	40	23	3	4	1	B
18	43	14	3	2	2	C
19	45	24	2	3	2	C
20	46	25	5	1	2	C
21	51	15	5	1	1	C
22	53	24	1	5	1	C
23	55	29	2	5	2	D
24	60	29	4	1	2	A
25	64	17	5	1	1	A
26	66	11	2	3	3	B
27	67	27	3	4	3	B
28	69	16	4	4	2	B
29	74	10	3	2	1	A
30	74	14	3	4	1	C
31	79	19	4	4	3	B
32	80	18	4	1	3	A
33	80	23	3	2	2	B
34	82	21	5	5	1	A
35	86	21	4	4	1	A
36	89	11	2	2	1	A
37	93	12	1	1	3	A
38	94	25	1	4	3	A
39	98	26	1	2	1	C
40	99	22	5	2	1	A
41	100	17	1	3	1	A
42	104	29	3	5	1	B
43	107	29	4	5	2	D
44	108	14	2	5	3	B
45	112	11	2	2	3	C
46	113	24	1	1	3	B
47	117	18	2	4	3	A
48	118	21	2	4	3	A
49	123	14	2	4	3	C
50	126	19	3	3	3	D
51	131	26	2	4	2	B
52	136	10	3	5	3	C
53	137	14	2	3	2	D
54	142	26	5	1	3	D
55	145	21	4	2	2	A
56	147	28	4	2	1	A
57	150	28	4	3	2	A
58	151	17	4	5	2	C
59	155	27	3	2	2	C
60	158	28	5	5	2	A
61	162	18	4	1	3	B
62	162	27	4	3	1	C
63	164	20	4	5	1	C
64	169	18	1	3	2	C
65	173	25	5	4	3	A
66	174	23	5	5	1	A
67	174	14	1	5	1	B
68	174	13	5	5	3	A
69	174	29	3	1	3	B
70	178	28	4	5	1	A
71	183	15	1	5	3	C
72	187	12	2	2	2	D
73	189	27	1	2	2	C
74	191	16	1	3	3	C
75	194	22	3	1	1	B
76	197	12	5	1	2	B
77	201	19	5	3	2	D
78	205	24	1	5	1	C
79	206	22	5	2	2	C
80	210	29	2	1	3	B
81	211	25	3	2	1	B
82	216	25	5	2	2	D
83	220	11	2	5	3	B
84	225	20	1	5	3	A
85	226	25	5	2	1	C
86	226	11	3	4	2	B
87	229	23	4	3	3	C
88	229	28	2	3	2	C
89	232	18	2	1	3	B
90	233	10	1	4	1	D
91	234	29	2	2	1	A
92	236	29	5	1	1	B
93	241	23	3	5	1	B
94	245	13	1	1	2	C
95	246	14	3	1	3	C
96	246	22	5	2	2	B
97	249	28	2	2	1	B
98	249	15	4	5	3	D
99	251	20	4	5	2	C
100	252	17	1	2	2	C
-1
