409	3	52
1	0.05	0.01
1	1	18	4	1	2	C
2	6	11	1	5	2	B
3	8	24	2	2	1	D
4	12	24	3	2	1	A
5	16	28	4	1	2	A
6	21	22	3	5	1	C
7	24	17	3	2	3	B
8	24	21	2	4	2	C
9	27	23	4	4	3	D
10	27	21	2	4	2	D
11	28	18	3	1	3	B
12	30	18	4	1	3	B
13	32	19	1	5	1	A
14	33	25	5	4	2	C
15	37	25	4	3	1	C
16	42	15	3	2	2	C
17	43	13	4	1	3	A
18	45	24	5	2	2	A
19	46	11	2	3	1	A
20	47	29	5	1	3	A
21	51	15	4	5	1	B
22	53	13	4	1	3	B
23	57	20	1	2	1	B
24	57	14	2	5	3	A
25	57	25	1	4	2	B
26	58	14	4	3	2	C
27	60	16	2	1	2	D
28	62	10	4	5	1	B
29	66	19	4	4	2	C
30	71	12	3	5	1	C
-1
